ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,predicted
0x1602,CUS_0xd40,January,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4.0,_,809.98,26.82261962,22 Years and 1 Months,No,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887,Good,Good
0x1603,CUS_0xd40,February,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1,,11.27,4.0,Good,809.98,31.94496006,,No,49.57494921,118.2802216,Low_spent_Large_value_payments,284.6291625,Good,Good
0x1604,CUS_0xd40,March,Aaron Maashoh,-500,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,_,4.0,Good,809.98,28.60935202,22 Years and 3 Months,No,49.57494921,81.69952126,Low_spent_Medium_value_payments,331.2098629,Good,Good
0x1605,CUS_0xd40,April,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4.0,Good,809.98,31.37786187,22 Years and 4 Months,No,49.57494921,199.4580744,Low_spent_Small_value_payments,223.4513097,Good,Good
0x1606,CUS_0xd40,May,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,,11.27,4.0,Good,809.98,24.79734691,22 Years and 5 Months,No,49.57494921,41.42015309,High_spent_Medium_value_payments,341.489231,Good,Standard
0x1607,CUS_0xd40,June,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4.0,Good,809.98,27.26225871,22 Years and 6 Months,No,49.57494921,62.43017233,!@9#%8,340.4792118,Good,Good
0x1608,CUS_0xd40,July,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8_,11.27,4.0,Good,809.98,22.53759303,22 Years and 7 Months,No,49.57494921,178.3440674,Low_spent_Small_value_payments,244.5653167,Good,Good
0x1609,CUS_0xd40,August,,23,#F%$D@*&8,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4.0,Good,809.98,23.9337948,,No,49.57494921,24.78521651,High_spent_Medium_value_payments,358.1241676,Standard,Standard
0x160e,CUS_0x21b1,January,Rick Rothackerj,28_,004-07-5839,_______,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,24.46403064,26 Years and 7 Months,No,18.81621457,104.2918252,Low_spent_Small_value_payments,470.6906269,Standard,Good
0x160f,CUS_0x21b1,February,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,7,1,7.42,2.0,Good,605.03,38.55084843,26 Years and 8 Months,No,18.81621457,40.39123783,High_spent_Large_value_payments,484.5912143,Good,Good
0x1610,CUS_0x21b1,March,Rick Rothackerj,28,004-07-5839,Teacher,34847.84_,3037.986667,2,1385,6,1,Credit-Builder Loan,3,-1,5.42,2.0,_,605.03,33.22495079,26 Years and 9 Months,No,18.81621457,58.5159757,High_spent_Large_value_payments,466.4664764,Standard,Good
0x1611,CUS_0x21b1,April,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,3_,5.42,2.0,Good,605.03,39.18265566,26 Years and 10 Months,No,18.81621457,99.30622796,Low_spent_Medium_value_payments,465.6762241,Good,Good
0x1612,CUS_0x21b1,May,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,6.42,2.0,Good,605.03,34.97789475,26 Years and 11 Months,No,18.81621457,130.1154202,Low_spent_Small_value_payments,444.8670319,Good,Good
0x1613,CUS_0x21b1,June,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,0,5.42,2.0,Good,605.03,33.3810102,27 Years and 0 Months,No,18.81621457,43.47719014,High_spent_Large_value_payments,481.5052619,Good,Good
0x1614,CUS_0x21b1,July,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,31.13170161,27 Years and 1 Months,NM,18.81621457,70.10177421,High_spent_Medium_value_payments,464.8806779,Good,Good
0x1615,CUS_0x21b1,August,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,32.93385629,27 Years and 2 Months,No,18.81621457,218.9043435,Low_spent_Small_value_payments,356.0781086,Good,Good
0x161a,CUS_0x2dbc,January,Langep,34,486-85-3974,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3.0,Good,1303.01,28.61673482,17 Years and 9 Months,No,246.9923195,168.4137027,!@9#%8,1043.315978,Good,Good
0x161b,CUS_0x2dbc,February,,34,486-85-3974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",13,6,7.1,3.0,Good,1303.01,41.70257342,17 Years and 10 Months,No,246.9923195,232.8603838,High_spent_Small_value_payments,998.8692968,Good,Good
0x161c,CUS_0x2dbc,March,Langep,34,486-85-3974,_______,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,7,11.1,,Good,1303.01,26.51981539,17 Years and 11 Months,No,246.9923195,__10000__,High_spent_Small_value_payments,715.7413674,Good,Good
0x161d,CUS_0x2dbc,April,Langep,34,486-85-3974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,9.1,3.0,_,1303.01,39.50164811,,No,246.9923195,825.2162699,Low_spent_Medium_value_payments,426.5134106,Good,Good
0x161e,CUS_0x2dbc,May,Langep,34,486-85-3974,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",10,5,7.1,3.0,Good,1303.01,31.37614957,18 Years and 1 Months,No,246.9923195,430.9475279,Low_spent_Large_value_payments,810.7821527,Good,Good
0x161f,CUS_0x2dbc,June,Langep,34,486-85-3974,Engineer,143162.64,12187.22,1,5,8,967,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,39.78399346,18 Years and 2 Months,No,246.9923195,257.8080994,High_spent_Medium_value_payments,963.9215811,Good,Good
0x1620,CUS_0x2dbc,July,,34,486-85-3974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.06862363,18 Years and 3 Months,No,246.9923195,263.1741632,High_spent_Small_value_payments,968.5555174,Standard,Standard
0x1621,CUS_0x2dbc,August,Langep,34,486-85-3974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.37475295,18 Years and 4 Months,No,246.9923195,__10000__,High_spent_Small_value_payments,895.4945832,Standard,Standard
0x1626,CUS_0xb891,January,Jasond,54,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,0,6,1.99,4.0,Good,632.46,26.54422872,17 Years and 3 Months,No,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773,Standard,Standard
0x1627,CUS_0xb891,February,Jasond,54,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,3,1.99,4.0,Good,632.46,35.27998178,17 Years and 4 Months,No,16.41545166,124.8818199,Low_spent_Small_value_payments,409.9518118,Standard,Standard
0x1628,CUS_0xb891,March,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,3,9,1.99,4.0,Good,632.46,32.30116343,17 Years and 5 Months,NM,16.41545166,83.4065088,High_spent_Medium_value_payments,411.4271229,Standard,Standard
0x1629,CUS_0xb891,April,Jasond,55,072-31-6145,Entrepreneur,30689.89_,2612.490833,2,5,4,1,Not Specified,7,6,-2.01,4.0,Good,632.46,38.13234819,17 Years and 6 Months,No,16.41545166,272.3340374,Low_spent_Small_value_payments,262.4995943,Standard,Standard
0x162a,CUS_0xb891,May,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-1.01,4.0,Good,632.46,41.15431655,17 Years and 7 Months,No,16.41545166,__10000__,Low_spent_Large_value_payments,359.3749155,Standard,Standard
